mobility_pair,origin,region_origin,income_origin,destination,region_destination,income_destination,r_origin,r_mobi_origin,r_coll_origin,r_mobi,r_coll,r_coll_mobi,MRot_c,r_no_coll,r_no_coll_mobi,MRot_nc,CMR_ot,MRot_all,prop_mobi,prop_coll
DE-IT,DE,Europe & Central Asia,High,IT,Europe & Central Asia,High,617925,99584,325627,3267,48483,1275,0.026297878,569442,1992,0.003498161,7.517628524,0.005287049,0.032806475,0.148891216
US-SG,US,North America,High,SG,East Asia & Pacific,High,2615677,243148,926952,3251,27168,595,0.021900766,2588509,2656,0.001026073,21.34425033,0.00124289,0.013370457,0.029308961
IT-ES,IT,Europe & Central Asia,High,ES,Europe & Central Asia,High,315823,59697,171682,3248,35983,1209,0.0335992,279840,2039,0.007286306,4.61128005,0.010284241,0.054408094,0.209590988
GR-UK,GR,Europe & Central Asia,High,UK,Europe & Central Asia,High,63976,12402,31436,3238,12116,967,0.079811819,51860,2271,0.043790976,1.822563161,0.05061273,0.261086921,0.385417992
IN-DE,IN,South Asia,Lower middle,DE,Europe & Central Asia,High,437424,50061,117155,3106,12948,636,0.049119555,424476,2470,0.005818939,8.441324813,0.007100662,0.062044306,0.110520251
CH-UK,CH,Europe & Central Asia,High,UK,Europe & Central Asia,High,111420,26940,72388,3099,19753,1128,0.05710525,91667,1971,0.02150174,2.655843195,0.027813678,0.115033408,0.27287672
JP-DE,JP,East Asia & Pacific,High,DE,Europe & Central Asia,High,931361,62618,201783,3085,26110,965,0.03695902,905251,2120,0.002341892,15.78169311,0.003312357,0.049266984,0.129396431
CA-FR,CA,North America,High,FR,Europe & Central Asia,High,331986,58798,157507,3063,20885,930,0.044529567,311101,2133,0.006856294,6.494698885,0.009226293,0.052093609,0.132597281
DK-US,DK,Europe & Central Asia,High,US,North America,High,61926,12340,39342,3060,16712,1605,0.096038775,45214,1455,0.032180298,2.984396668,0.049413816,0.247974068,0.424787759
AT-US,AT,Europe & Central Asia,High,US,North America,High,66139,14393,41426,3037,14416,1301,0.090246948,51723,1736,0.033563405,2.688849587,0.045918444,0.21100535,0.347994013
CN-FR,CN,East Asia & Pacific,Upper middle,FR,Europe & Central Asia,High,2019527,123439,635973,3019,29330,1087,0.03706103,1990197,1932,0.000970758,38.17740686,0.001494904,0.024457424,0.04611831
DE-SE,DE,Europe & Central Asia,High,SE,Europe & Central Asia,High,617925,99584,325627,2992,32141,938,0.029183908,585784,2054,0.003506412,8.323011977,0.004842012,0.030044987,0.09870496
BR-UK,BR,Latin America & Caribbean,Upper middle,UK,Europe & Central Asia,High,406687,33809,138687,2989,24203,1093,0.045159691,382484,1896,0.00495707,9.110157823,0.007349633,0.088408412,0.174515275
DE-AU,DE,Europe & Central Asia,High,AU,East Asia & Pacific,High,617925,99584,325627,2885,27334,832,0.030438282,590591,2053,0.003476179,8.756247151,0.004668851,0.028970517,0.083942671
US-DK,US,North America,High,DK,Europe & Central Asia,High,2615677,243148,926952,2861,40812,916,0.022444379,2574865,1945,0.000755379,29.71272298,0.001093789,0.011766496,0.04402817
SG-US,SG,East Asia & Pacific,High,US,North America,High,53681,10796,30058,2859,13023,1155,0.088689242,40658,1704,0.041910571,2.116154463,0.053259067,0.264820304,0.433262359
PL-US,PL,Europe & Central Asia,High,US,North America,High,111589,12171,49777,2845,15826,1165,0.073613042,95763,1680,0.01754331,4.196074836,0.025495345,0.233752362,0.317938003
